Date,Time,Time Zone,Category,Item,Qty,Price Point Name,SKU,Modifiers Applied,Gross Sales,Discounts,Net Sales,Tax,Transaction ID,Itemization Type
2026-05-30,07:06:11,GMT+01:00,Coffee,Filter Coffee,2,Regular,MM-FILTER-COFFEE-RE,,6.40,0.00,5.33,1.07,sq-demo-55013,Normal
2026-05-30,07:07:09,GMT+01:00,Chocolate,Dark Hot Chocolate,2,Large,MM-DARK-HOT-CHOCO-LA,,8.40,0.00,7.00,1.40,sq-demo-55014,Normal
2026-05-30,07:09:09,GMT+01:00,Matcha,Matcha Latte,1,Large,MM-MATCHA-LATTE-LA,,5.00,0.00,4.17,0.83,sq-demo-55016,Normal
2026-05-30,07:09:59,GMT+01:00,Chocolate,Dark Hot Chocolate,2,Large,MM-DARK-HOT-CHOCO-LA,,8.40,0.00,7.00,1.40,sq-demo-55017,Normal
2026-05-30,07:12:10,GMT+01:00,Tea,Hojicha Latte,1,Large,MM-HOJICHA-LATTE-LA,,4.80,0.00,4.00,0.80,sq-demo-55018,Normal
2026-05-30,07:15:02,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55019,Normal
2026-05-30,07:18:04,GMT+01:00,Tea,Hojicha Latte,1,Regular,MM-HOJICHA-LATTE-RE,,4.30,0.00,3.58,0.72,sq-demo-55020,Normal
2026-05-30,07:20:24,GMT+01:00,Coffee,Filter Coffee,1,Regular,MM-FILTER-COFFEE-RE,,3.20,0.00,2.67,0.53,sq-demo-55021,Normal
2026-05-30,07:20:59,GMT+01:00,Matcha,Matcha Latte,2,Regular,MM-MATCHA-LATTE-RE,Extra Matcha Shot,9.00,0.00,7.50,1.50,sq-demo-55022,Normal
2026-05-30,07:21:23,GMT+01:00,Matcha,Iced Matcha Latte,1,Regular,MM-ICED-MATCHA-LA-RE,,4.80,0.00,4.00,0.80,sq-demo-55023,Normal
2026-05-30,07:22:41,GMT+01:00,Matcha,Iced Matcha Latte,1,Large,MM-ICED-MATCHA-LA-LA,Oat Milk,5.30,0.00,4.42,0.88,sq-demo-55024,Normal
